City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,cidreira,BR,2022-02-18 05:12:46,-30.1811,-50.2056,72.41,85,39,10.31
70,hays,US,2022-02-18 05:12:47,30.0502,-98.0336,38.08,65,76,5.99
71,portland,US,2022-02-18 05:10:54,45.5234,-122.6762,48.81,87,75,3.0
72,ponta delgada,PT,2022-02-18 05:12:47,37.7333,-25.6667,51.49,62,75,13.8
73,jucas,BR,2022-02-18 05:12:48,-6.5253,-39.5275,71.67,85,84,3.65
74,sao filipe,CV,2022-02-18 05:12:48,14.8961,-24.4956,73.33,66,100,9.98
75,le port,RE,2022-02-18 05:12:49,-20.9373,55.2919,84.16,72,58,1.43
76,raton,US,2022-02-18 05:12:49,36.9034,-104.4391,27.19,72,0,4.61
77,krasnoselkup,RU,2022-02-18 05:12:49,65.7,82.4667,9.63,94,100,15.99
78,bluff,NZ,2022-02-18 05:12:50,-46.6,168.3333,71.8,51,100,16.84
79,petropavlovsk-kamchatskiy,RU,2022-02-18 05:12:50,53.0452,158.6483,28.99,80,75,6.71
80,atherton,GB,2022-02-18 05:12:51,53.5237,-2.4935,47.1,93,100,8.01
81,chase,CA,2022-02-18 05:12:51,50.8165,-119.6857,37.15,96,93,2.77
82,alta floresta,BR,2022-02-18 05:12:51,-9.8756,-56.0861,71.33,98,100,3.09
83,ancud,CL,2022-02-18 05:12:52,-41.8697,-73.8203,47.73,82,0,2.28
84,iqaluit,CA,2022-02-18 05:12:52,63.7506,-68.5145,-27.31,67,20,11.01
85,saint george,US,2022-02-18 05:12:53,37.1041,-113.5841,46.35,32,0,8.05
86,chicama,PE,2022-02-18 05:12:53,-7.8447,-79.1469,71.69,77,99,4.94
87,atuona,PF,2022-02-18 05:12:53,-9.8,-139.0333,78.87,74,6,20.02
88,maniitsoq,GL,2022-02-18 05:12:54,65.4167,-52.9,-6.56,85,99,6.02
89,san patricio,US,2022-02-18 05:12:54,28.017,-97.5169,50.85,47,3,20.78
90,aksaray,TR,2022-02-18 05:09:11,38.3726,34.0254,24.39,66,40,3.49
91,copiapo,CL,2022-02-18 05:12:55,-27.3667,-70.3333,65.26,85,4,2.86
92,biak,ID,2022-02-18 05:12:55,-0.9131,122.8766,82.53,66,100,1.19
93,kurchum,KZ,2022-02-18 05:13:56,48.5722,83.6542,-1.93,89,74,1.79
94,upernavik,GL,2022-02-18 05:13:56,72.7868,-56.1549,-27.74,99,97,5.1
95,xingyi,CN,2022-02-18 05:13:56,24.1877,102.817,69.31,32,2,17.38
96,thompson,CA,2022-02-18 05:13:57,55.7435,-97.8558,-26.57,100,79,3.11
97,nanortalik,GL,2022-02-18 05:13:57,60.1432,-45.2371,17.49,54,100,8.61
98,yulara,AU,2022-02-18 05:13:58,-25.2406,130.9889,89.44,22,0,10.36
99,arraial do cabo,BR,2022-02-18 05:13:58,-22.9661,-42.0278,74.07,91,83,9.28
100,villaviciosa,ES,2022-02-18 05:13:59,43.4813,-5.4357,52.16,97,10,3.27
101,abu samrah,SY,2022-02-18 05:13:59,35.3029,37.1841,46.29,75,4,3.67
102,dingle,PH,2022-02-18 05:13:59,10.9995,122.6711,84.54,64,84,14.38
103,mae hong son,TH,2022-02-18 05:14:00,19.3003,97.9685,91.76,41,47,4.07
104,tasiilaq,GL,2022-02-18 05:14:00,65.6145,-37.6368,23.16,93,100,18.79
105,butajira,ET,2022-02-18 05:14:01,8.1167,38.3667,65.28,46,66,3.91
106,camiri,BO,2022-02-18 05:14:01,-20.05,-63.5167,68.14,98,100,1.5
107,harwich,GB,2022-02-18 05:14:01,51.9419,1.2844,50.0,89,100,11.99
108,muhos,FI,2022-02-18 05:14:02,64.808,25.9931,24.89,96,100,7.83
109,lira,UG,2022-02-18 05:14:02,2.235,32.9097,71.33,73,42,3.76
110,lompoc,US,2022-02-18 05:13:50,34.6391,-120.4579,54.57,75,0,11.01
111,shima,CN,2022-02-18 05:14:03,24.4478,117.8111,63.41,60,69,7.36
112,tiksi,RU,2022-02-18 05:14:03,71.6872,128.8694,-25.4,98,75,3.6
113,bengkulu,ID,2022-02-18 05:13:08,-3.8004,102.2655,83.97,64,99,3.2
114,huarmey,PE,2022-02-18 05:14:04,-10.0681,-78.1522,71.31,85,100,4.99
115,ostrovnoy,RU,2022-02-18 05:14:04,68.0531,39.5131,27.95,96,100,17.56
116,neapolis,IT,2022-02-18 05:09:32,40.8333,14.25,54.75,81,75,2.3
117,usvyaty,RU,2022-02-18 05:14:05,55.7456,30.7533,31.28,87,100,10.11
118,knysna,ZA,2022-02-18 05:14:05,-34.0363,23.0471,64.71,80,0,4.5
119,sola,VU,2022-02-18 05:14:06,-13.8833,167.55,82.67,69,98,1.5
120,chuy,UY,2022-02-18 05:14:06,-33.6971,-53.4616,68.7,81,52,8.23
121,avarua,CK,2022-02-18 05:14:07,-21.2078,-159.775,73.45,94,100,10.36
122,egvekinot,RU,2022-02-18 05:14:07,66.3167,-179.1667,-9.9,87,6,16.08
123,sarangani,PH,2022-02-18 05:14:08,5.4033,125.4636,81.64,74,99,21.52
124,zhigansk,RU,2022-02-18 05:14:08,66.7697,123.3711,-16.76,95,98,1.48
125,bredasdorp,ZA,2022-02-18 05:14:08,-34.5322,20.0403,65.28,78,16,12.46
126,khatanga,RU,2022-02-18 05:14:09,71.9667,102.5,-29.24,97,28,3.02
127,luderitz,NA,2022-02-18 05:14:09,-26.6481,15.1594,70.02,73,37,11.07
128,shimoda,JP,2022-02-18 05:14:10,34.6667,138.95,52.11,35,4,5.32
129,qaanaaq,GL,2022-02-18 05:14:10,77.484,-69.3632,-6.38,66,100,6.53
130,cody,US,2022-02-18 05:11:09,44.5263,-109.0565,34.02,40,20,11.5
131,margate,GB,2022-02-18 05:14:11,51.3813,1.3862,51.96,91,100,11.01
132,tiznit,MA,2022-02-18 05:14:11,29.5833,-9.5,57.52,29,100,4.52
133,ayorou,NE,2022-02-18 05:14:12,14.7308,0.9174,73.89,15,42,9.22
134,srednekolymsk,RU,2022-02-18 05:14:12,67.45,153.6833,-25.56,99,100,3.24
135,taoudenni,ML,2022-02-18 05:14:12,22.6783,-3.9836,60.31,18,93,11.36
136,diffa,NE,2022-02-18 05:14:13,13.3154,12.6113,67.06,14,4,11.03
137,ulladulla,AU,2022-02-18 05:14:13,-35.35,150.4667,80.76,81,49,12.88
138,kaitangata,NZ,2022-02-18 05:14:13,-46.2817,169.8464,68.94,65,55,2.44
139,bethel,US,2022-02-18 05:15:14,41.3712,-73.414,57.7,90,100,17.27
140,lebu,CL,2022-02-18 05:15:14,-37.6167,-73.65,56.26,82,0,16.46
141,san cristobal,VE,2022-02-18 05:15:15,7.7669,-72.225,69.98,77,96,0.65
142,namibe,AO,2022-02-18 05:15:15,-15.1961,12.1522,76.21,80,99,3.06
143,carutapera,BR,2022-02-18 05:15:16,-1.195,-46.02,75.51,88,99,4.18
144,tautira,PF,2022-02-18 05:15:16,-17.7333,-149.15,78.82,74,44,13.4
145,padang,ID,2022-02-18 05:15:16,-0.9492,100.3543,89.65,61,69,3.27
146,valkeala,FI,2022-02-18 05:15:17,60.9401,26.7979,27.0,93,75,13.8
147,ormara,PK,2022-02-18 05:15:17,25.2088,64.6357,72.72,52,0,5.21
148,koslan,RU,2022-02-18 05:15:17,63.4564,48.8989,33.19,92,100,14.45
149,havre-saint-pierre,CA,2022-02-18 05:15:18,50.2334,-63.5986,27.19,86,100,14.97
150,yining,CN,2022-02-18 05:15:19,29.0361,114.5636,36.86,99,100,1.88
151,vila velha,BR,2022-02-18 05:15:19,-20.3297,-40.2925,76.95,86,0,5.75
152,alappuzha,IN,2022-02-18 05:15:20,9.49,76.3264,82.11,55,5,1.14
153,port lincoln,AU,2022-02-18 05:15:20,-34.7333,135.8667,68.13,60,37,14.76
154,sisimiut,GL,2022-02-18 05:15:20,66.9395,-53.6735,-10.89,93,97,5.84
155,warah,PK,2022-02-18 05:15:21,27.4481,67.7978,72.86,23,0,7.58
156,cumberland,US,2022-02-18 05:15:21,35.0502,-78.8664,70.61,83,100,14.97
157,puerto escondido,MX,2022-02-18 05:15:22,15.85,-97.0667,79.63,73,75,4.61
158,cherskiy,RU,2022-02-18 05:15:22,68.75,161.3,-34.01,99,49,2.24
159,baiyin,CN,2022-02-18 05:15:22,36.5583,104.2081,20.28,70,100,10.94
160,praia da vitoria,PT,2022-02-18 05:15:23,38.7333,-27.0667,48.76,81,75,22.1
