City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Chuy,UY,-33.6971,-53.4616,77.86,55,14,12.39,few clouds
79,Hobart,AU,-42.8794,147.3294,56.05,86,75,2.3,broken clouds
80,Shimoda,JP,34.6667,138.95,32.11,63,4,17.81,clear sky
81,Kerrobert,CA,51.9168,-109.1348,-3.8,80,94,9.26,overcast clouds
82,Richards Bay,ZA,-28.783,32.0377,74.07,91,23,4.88,light rain
83,Bluff,NZ,-46.6,168.3333,53.8,62,80,5.99,broken clouds
84,Hithadhoo,MV,-0.6,73.0833,81.79,70,9,7.0,clear sky
85,Filingue,NE,14.3521,3.3168,77.92,6,8,8.72,clear sky
86,Luderitz,NA,-26.6481,15.1594,70.21,63,0,13.73,clear sky
87,Nikolskoye,RU,59.7035,30.7861,28.29,95,97,7.14,overcast clouds
88,East London,ZA,-33.0153,27.9116,72.75,81,100,9.8,overcast clouds
89,Tahe,CN,52.3333,124.7333,-0.38,90,99,4.94,overcast clouds
90,Busselton,AU,-33.65,115.3333,65.08,74,77,15.14,broken clouds
91,Kavieng,PG,-2.5744,150.7967,79.93,79,72,6.17,moderate rain
92,Khatanga,RU,71.9667,102.5,-1.19,93,99,7.2,overcast clouds
93,Hamilton,US,39.1834,-84.5333,63.45,87,100,21.85,overcast clouds
94,Oistins,BB,13.0667,-59.5333,80.69,69,40,20.71,scattered clouds
95,Limbe,CM,4.0242,9.2149,81.45,80,99,4.94,overcast clouds
96,Port Alfred,ZA,-33.5906,26.891,69.94,82,2,11.32,clear sky
97,Mataura,NZ,-46.1927,168.8643,53.47,90,98,2.1,overcast clouds
98,Westport,US,41.1415,-73.3579,54.95,90,100,16.11,moderate rain
99,Honiara,SB,-9.4333,159.95,77.58,91,98,1.97,overcast clouds
100,Rogozno,PL,52.7523,16.9905,39.29,79,100,9.84,overcast clouds
101,Itaqui,BR,-29.1253,-56.5531,95.54,21,13,13.4,few clouds
102,Vardo,NO,70.3705,31.1107,15.78,79,40,14.97,scattered clouds
103,Pevek,RU,69.7008,170.3133,-28.64,94,100,6.51,overcast clouds
104,Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,45,0,17.27,clear sky
105,Kaitangata,NZ,-46.2817,169.8464,52.12,81,83,1.92,broken clouds
106,Georgetown,MY,5.4112,100.3354,78.73,97,40,0.0,scattered clouds
107,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.59,63,75,33.55,broken clouds
108,Barrow,US,71.2906,-156.7887,21.22,86,100,14.97,overcast clouds
109,Ribeira Grande,PT,38.5167,-28.7,61.2,77,75,2.3,broken clouds
110,Bredasdorp,ZA,-34.5322,20.0403,61.92,77,0,3.44,clear sky
111,Nanortalik,GL,60.1432,-45.2371,14.77,75,100,44.2,overcast clouds
112,Dong Xoai,VN,11.5333,106.9167,71.73,94,99,4.59,overcast clouds
113,Vaini,TO,-21.2,-175.2,81.86,76,99,18.25,overcast clouds
114,Mar Del Plata,AR,-38.0023,-57.5575,71.62,88,75,12.66,broken clouds
115,Grand Gaube,MU,-20.0064,57.6608,79.38,87,96,7.0,overcast clouds
116,Iracoubo,GF,5.4802,-53.2011,77.99,90,70,12.62,broken clouds
117,Aromashevo,RU,56.8602,68.6375,10.2,98,71,6.87,broken clouds
118,Caravelas,BR,-17.7125,-39.2481,82.18,68,49,7.52,scattered clouds
119,Ovsyanka,RU,55.9575,92.5519,15.22,91,100,4.63,overcast clouds
120,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,82,0,4.61,clear sky
121,Saint-Pierre,RE,-21.3393,55.4781,80.28,74,20,5.75,few clouds
122,Otane,NZ,-39.8833,176.6333,66.0,77,9,6.49,clear sky
123,Yellowknife,CA,62.456,-114.3525,-9.71,76,0,6.91,clear sky
124,Ostrovnoy,RU,68.0531,39.5131,14.83,89,100,5.01,light snow
