City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
143,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
144,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
147,Puerto Ayora,EC,84.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
148,Pilar,BR,84.13,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
150,Denpasar,ID,73.06,heavy intensity rain,-8.65,115.2167,OYO 3156 Hotel Warta 2
152,Pascagoula,US,80.6,overcast clouds,30.3658,-88.5561,Regency Inn
153,Cotonou,BJ,84.18,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
154,Ahualulco,MX,78.62,clear sky,22.4,-101.1667,Hotel Aurelieus
155,Kavaratti,IN,80.17,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
156,Tual,ID,82.17,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
158,Tabas,IR,55.58,scattered clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
162,Charters Towers,AU,75.25,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
163,Teguise,ES,66.42,haze,29.0605,-13.564,B&B La Casona de Nazaret
164,Marsh Harbour,BS,74.01,clear sky,26.5412,-77.0636,Abaco Beach Resort
167,Mogadishu,SO,78.55,overcast clouds,2.0371,45.3438,Hotel Juba
169,Ancud,CL,79.23,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
170,Emilio Carranza,MX,78.91,clear sky,19.9711,-96.6114,Hotel Carranza Inn
173,Cabedelo,BR,84.87,clear sky,-6.9811,-34.8339,Hotel Pigalle
176,Antsohihy,MG,74.46,overcast clouds,-14.8796,47.9875,Hotel de Ville
177,Geraldton,AU,73.81,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
178,Lagoa,PT,57.72,overcast clouds,39.05,-27.9833,Casa Das Faias
181,Bengkulu,ID,75.74,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
183,Kahului,US,81.66,few clouds,20.8947,-156.47,Maui Seaside Hotel
185,Glencoe,ZA,63.46,light rain,-28.1783,30.147,Lalalapha
188,Hilo,US,76.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
189,Vao,NC,80.02,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
190,Lhokseumawe,ID,76.06,broken clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
191,Payo,ID,72.64,overcast clouds,-3.7508,103.6372,Mess keban agung
192,Necochea,AR,72.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
193,Vila Velha,BR,82.35,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
194,Codrington,AU,54.68,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
197,Fare,PF,81.21,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
198,Wanning,CN,55.08,overcast clouds,18.8003,110.3967,Paradise Hotel
199,Nhulunbuy,AU,75.81,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
200,Mount Isa,AU,64.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
202,Taltal,CL,69.64,few clouds,-25.4,-70.4833,Residencial Karime
203,Namibe,AO,76.62,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
204,Cabo San Lucas,MX,80.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
205,Ixtapa,MX,78.03,clear sky,20.7,-105.2,hotel la terminal
207,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
210,Puerto Baquerizo Moreno,EC,79.79,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
212,Lompoc,US,58.41,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
216,Morro Bay,US,57.27,scattered clouds,35.3658,-120.8499,Inn at Morro Bay
219,Pathalgaon,IN,60.46,clear sky,22.5667,83.4667,Queens Park Marriage Garden
220,Riyadh,SA,57.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
221,Kabompo,ZM,66.2,light rain,-13.5927,24.2008,Big Tree
222,Beloha,MG,76.75,overcast clouds,-25.1667,45.05,
223,Moyobamba,PE,76.91,scattered clouds,-6.05,-76.9667,Hospedaje Mariluna
224,Tirumullaivasal,IN,76.86,clear sky,11.2333,79.8333,Almupaark complex
225,Surt,LY,56.84,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
227,Kochi,IN,75.18,clear sky,9.9399,76.2602,Trident Hotel Cochin
229,Touros,BR,86.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
230,Waipawa,NZ,59.45,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
232,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
234,Port Elizabeth,ZA,64.69,clear sky,-33.918,25.5701,39 On Nile Guest House
239,Monroe,US,50.34,moderate rain,43.1501,-77.6831,Rodeway Inn Rochester Airport
240,Adrar,MR,80.49,broken clouds,20.5022,-10.0711,
244,Labuhan,ID,76.96,overcast clouds,-6.8844,112.2051,DoubleFAG
247,Kieta,PG,80.78,light rain,-6.2167,155.6333,Uruna Bay Retreat
248,Santo Nino,PH,70.65,broken clouds,6.435,124.6975,The Signature Place
249,Maningrida,AU,79.11,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
251,Dunedin,NZ,54.88,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
252,Sabang,ID,81.97,overcast clouds,5.8933,95.3214,Hotel Citra
254,La Palma,US,62.91,broken clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
255,Praia Da Vitoria,PT,59.25,broken clouds,38.7333,-27.0667,Hotel Branco I
256,Dingle,PH,72.99,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
257,Pisco,PE,77.05,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
258,Jalu,LY,60.93,overcast clouds,29.0331,21.5482,صاحبة الفخامة
261,Katherine,AU,75.52,overcast clouds,-14.4667,132.2667,Pine Tree Motel
262,Siguiri,GN,83.91,clear sky,11.6667,-9.5,
263,Sri Aman,MY,77.09,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
267,Coquimbo,CL,69.53,clear sky,-29.9533,-71.3436,Hotel San Juan
269,Rockport,US,89.71,haze,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
270,Basco,PH,75.18,broken clouds,20.4487,121.9702,Nathaniel's Lodge
272,Lata,PT,59.41,clear sky,40.1629,-8.3327,Casa Maquia
276,Vanimo,PG,76.06,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
277,Padang,ID,76.98,overcast clouds,-0.9492,100.3543,Mercure Padang
280,Ibra,OM,63.57,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
282,Mayor Pablo Lagerenza,PY,84.42,moderate rain,-19.9309,-60.7718,
285,Half Moon Bay,US,55.24,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
289,Butaritari,KI,81.16,light rain,3.0707,172.7902,Isles Sunset Lodge
290,Carutapera,BR,78.37,moderate rain,-1.195,-46.02,Lidera
291,Monze,ZM,65.95,broken clouds,-16.2833,27.4833,Fay terry lodge
292,Zlitan,LY,56.37,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
294,Da Nang,VN,66.18,broken clouds,16.0678,108.2208,Grand Mercure Danang
295,Marawi,PH,62.65,overcast clouds,7.9986,124.2928,Derogongan Residence
297,Camacha,PT,61.56,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
298,Iberia,US,80.58,overcast clouds,29.9502,-91.7507,back to back rv park
299,Itoman,JP,60.82,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
300,Baracoa,CU,79.12,clear sky,20.3467,-74.4958,Hostal Rio Miel
301,Anloga,GH,82.62,overcast clouds,5.7947,0.8973,Pin Drop Hotel
302,Pandan,PH,78.73,light rain,14.0453,124.1694,Bonifacio Lodge
303,Buala,SB,81.63,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
304,Takoradi,GH,80.58,few clouds,4.8845,-1.7554,Raybow International Hotel
305,Miranda,CO,84.65,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
307,Port Hedland,AU,82.45,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
309,Kudahuvadhoo,MV,81.3,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
312,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
313,Port Moresby,PG,74.62,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
314,Male,MV,82.35,few clouds,4.1748,73.5089,Hotel Octave Maldives
315,Ozubulu,NG,82.38,broken clouds,5.9567,6.849,Udegbunam's Residence
316,Asilah,MA,62.56,overcast clouds,35.465,-6.0348,Hotel Zelis
319,Huautla,MX,83.57,clear sky,21.0333,-98.2833,Hotel Huautla
320,Lazaro Cardenas,MX,83.53,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
322,Kyabram,AU,66.87,broken clouds,-36.3167,145.05,Kyabram Motor Inn
323,Hounde,BF,82.94,broken clouds,11.5,-3.5167,Carrefour où ouvriers dorment
325,Bonthe,SL,78.44,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
327,Paita,PE,86.56,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
328,Masvingo,ZW,67.44,scattered clouds,-20.0637,30.8277,River Side Lodge
332,Grajau,BR,77.61,light rain,-5.8194,-46.1386,Hotel Confiança
335,Port-Gentil,GA,82.36,few clouds,-0.7193,8.7815,Fengshui Residence
336,Abu Samrah,SY,51.78,few clouds,35.3029,37.1841,
338,Bethel,US,53.69,moderate rain,41.3712,-73.414,Courtyard by Marriott Danbury
339,Hurghada,EG,64.78,scattered clouds,27.2574,33.8129,Sea Star Beau Rivage Hotel
340,Sierra Vista,US,62.49,clear sky,31.5545,-110.3037,Gateway Studio Suites
346,Vallenar,CL,82.49,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
347,Hobyo,SO,78.49,light rain,5.3505,48.5268,Halane Hotel and Restaurent
348,Do Gonbadan,IR,50.09,few clouds,30.3586,50.7981,شبکه بهداشت و درمان گچساران
349,Mabama,TZ,72.09,overcast clouds,-5.1333,32.5333,
351,Huatulco,MX,88.47,few clouds,15.8436,-96.3267,Fonatur Operadora Portuaría
352,Isangel,VU,75.31,scattered clouds,-19.55,169.2667,Tanna Lodge
353,Montemorelos,MX,89.56,clear sky,25.2,-99.8167,Best Western Bazarell Inn
354,Wajid,SO,84.07,overcast clouds,3.8093,43.2471,xamdihotelresturant114
355,Hope,US,61.95,overcast clouds,33.6671,-93.5916,Best Western Hope
359,Xuddur,SO,77.72,broken clouds,4.1213,43.8894,Banjanay Hotel
360,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
361,Tiarei,PF,84.22,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
363,Antalaha,MG,77.85,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
365,Marsa Matruh,EG,59.14,clear sky,31.3525,27.2453,Beau Site
366,Awbari,LY,62.2,clear sky,26.5921,12.7805,فندق أوباري
367,Dumka,IN,63.05,clear sky,24.2667,87.25,"Hotel Shashwat , Sri Shyam Plaza ,Dumka"
369,Bilma,NE,73.71,clear sky,18.6853,12.9164,Expeditions Ténére voyages
371,Vicuna,CL,81.77,clear sky,-30.0319,-70.7081,Los Mosaicos
377,Huarmey,PE,76.26,scattered clouds,-10.0681,-78.1522,Hotel Miramar
378,Kirakira,SB,82.74,overcast clouds,-10.4544,161.9205,SanBiz Lodge
381,Kruisfontein,ZA,60.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
382,Baturaja,ID,73.09,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
383,Karwar,IN,72.07,few clouds,14.8,74.1333,Netalco Connects
384,Pedernales,DO,81.64,scattered clouds,18.0384,-71.744,Hotel Costa Marina
386,Manado,ID,72.37,scattered clouds,1.487,124.8455,Aryaduta Hotel
387,San Carlos Del Zulia,VE,88.36,broken clouds,9.0,-71.9135,Hotel El Manantial
388,Atar,MR,84.02,overcast clouds,20.5169,-13.0499,Oumou Elghoura
390,Nyimba,ZM,67.26,broken clouds,-14.5566,30.8149,Dali Dali Lodge
391,Okato,NZ,70.92,overcast clouds,-39.2,173.8833,Goodin Country Garden
394,Nouakchott,MR,69.73,scattered clouds,18.0858,-15.9785,HOTEL IMAN
396,Bon Air,US,69.24,moderate rain,37.5249,-77.5578,DoubleTree by Hilton Hotel Richmond - Midlothian
397,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
398,Ambovombe,MG,75.11,light rain,-25.1667,46.0833,RELAHARA
402,Mao,ES,50.56,clear sky,39.8885,4.2658,ARTIEM Capri
403,Ahuimanu,US,80.31,broken clouds,21.4447,-157.8378,Paradise Bay Resort
406,Dharchula,IN,52.86,overcast clouds,29.85,80.5333,Mahara Hotel
408,Samarai,PG,81.39,overcast clouds,-10.6167,150.6667,Nuli Sapi
413,Maragogi,BR,79.83,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
416,Palestine,PS,52.93,overcast clouds,31.9216,35.2033,Grand Park Hotel
418,Maceio,BR,85.44,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
419,Hambantota,LK,75.78,clear sky,6.1241,81.1185,Bungalow 63
421,Laguna,US,57.47,scattered clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
422,Pafos,CY,59.23,few clouds,34.7667,32.4167,Elysium Hotel
424,Kaeo,NZ,68.32,scattered clouds,-35.1,173.7833,Bushido Lodge
426,Sampit,ID,72.07,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
427,Sulphur Springs,US,50.56,clear sky,33.1385,-95.6011,Clarion Pointe Sulphur Springs
428,Crixas,BR,79.97,moderate rain,-14.5489,-49.9692,RISO HOTEL
430,Novo Aripuana,BR,81.86,moderate rain,-5.1206,-60.3797,Hotel Ezequiel
434,Tucuman,AR,71.6,overcast clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
435,Naze,JP,51.19,overcast clouds,28.3667,129.4833,Shishime Hotel
437,Antofagasta,CL,70.88,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
438,Duiwelskloof,ZA,64.42,broken clouds,-23.6934,30.14,Silvermist Guesthouse
443,Karratha,AU,83.64,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
444,Flinders,AU,71.19,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
445,Palmer,US,52.43,overcast clouds,42.1584,-72.3287,Wedgewood Motel
446,Itigi,TZ,64.08,light rain,-5.7,34.4833,Hostel San Sebastiano
449,Muswellbrook,AU,68.32,overcast clouds,-32.2667,150.9,Wayfarer Motel
450,Azul,AR,76.33,few clouds,-36.777,-59.8585,Cabañas Dulcinea
452,Cayambe,EC,61.86,moderate rain,0.05,-78.1333,Hosteria Jatun huasi
453,Peniche,PT,65.68,few clouds,39.3558,-9.3811,Hotel Star inn Peniche
454,Ternate,ID,77.54,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
455,Atambua,ID,72.46,moderate rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
458,Tecoanapa,MX,85.96,clear sky,16.5167,-98.75,Hotel Manglares
459,Dana Point,US,62.24,few clouds,33.467,-117.6981,Laguna Cliffs Marriott Resort & Spa
461,Kongolo,CD,70.3,overcast clouds,-5.3833,27.0,GUEST HOUSE OASIS
462,Maputo,MZ,78.48,few clouds,-25.9653,32.5892,Pestana Rovuma
465,Constitucion,CL,64.44,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
466,Byron Bay,AU,73.35,moderate rain,-28.65,153.6167,Backpackers Inn
467,Aswan,EG,66.88,clear sky,24.0934,32.907,Nuba Nile
469,Gayeri,BF,78.91,broken clouds,12.6497,0.4931,
470,Cabra,ES,60.24,scattered clouds,37.4725,-4.4421,MS Fuente Las Piedras
471,Diapaga,BF,79.88,few clouds,12.0708,1.7889,
472,Dunmore Town,BS,74.21,few clouds,25.5,-76.65,Coral Sands Hotel
473,Augusto Correa,BR,78.93,scattered clouds,-1.0217,-46.635,Fazenda Bacuri
474,Akdepe,TM,50.09,overcast clouds,42.0551,59.3788,
475,Caxito,AO,77.02,overcast clouds,-8.5785,13.6643,
476,Mitu,CO,82.8,light rain,1.1983,-70.1733,
480,Chimbote,PE,77.58,few clouds,-9.0853,-78.5783,Hotel Briliá
483,Viedma,AR,65.89,overcast clouds,-40.8135,-62.9967,Hotel Cristal
484,Mazamet,FR,51.66,clear sky,43.49,2.373,La Villa de Mazamet
486,Bhuj,IN,67.37,clear sky,23.2667,69.6667,Regenta Resort Bhuj
487,Koumac,NC,81.37,clear sky,-20.5667,164.2833,Le Monitel
491,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
492,Pochutla,MX,89.42,clear sky,15.7432,-96.4661,Hotel Posada San Jose
493,Diffa,NE,71.08,clear sky,13.3154,12.6113,ProDAF/Diffa
494,Layou,VC,80.08,scattered clouds,13.2,-61.2667,Compton's Bed-&-Breakfast & Anchorage
495,Moron,AR,81.0,scattered clouds,-34.6534,-58.6198,Hotel Morón
496,Mackay,AU,75.69,broken clouds,-21.15,149.2,International Lodge Motel
498,Songea,TZ,67.35,scattered clouds,-10.6833,35.65,mtakuja
499,The Valley,AI,81.82,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
503,Bandarbeyla,SO,76.93,few clouds,9.4942,50.8122,JABIR HOTEL
504,Murgab,TM,51.67,overcast clouds,37.4966,61.9714,
505,Yuli,NG,78.19,scattered clouds,9.6989,10.2744,
506,Ingham,US,53.78,overcast clouds,42.6,-84.3833,Sunset Mobile Home Park
507,Providencia,MX,73.62,scattered clouds,28.7167,-111.5833,
509,Meulaboh,ID,74.8,overcast clouds,4.1363,96.1285,Kost Pria
510,Baherden,TM,51.89,broken clouds,38.4362,57.4316,
513,Atengo,MX,80.58,clear sky,20.1667,-99.3333,JARDÍN DE CACTUS
516,Beckley,US,62.49,overcast clouds,37.7782,-81.1882,"Country Inn & Suites by Radisson, Beckley, WV"
518,Lorengau,PG,80.17,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
520,Am Timan,TD,79.93,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
521,Miraflores,MX,79.56,clear sky,19.2167,-98.8083,Hotel Mansión
523,Sini,IN,64.62,clear sky,22.8,85.9667,Mundatand Nayagora
524,Khorramshahr,IR,60.76,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
525,Merauke,ID,77.97,moderate rain,-8.4667,140.3333,
528,Aitape,PG,76.55,overcast clouds,-3.1374,142.3475,
532,Tumpat,MY,78.78,scattered clouds,6.1978,102.171,Baan Tanyong B&B
533,Gaya,IN,58.71,clear sky,24.7833,85.0,Hotel Viraat Inn Gaya
534,Labrea,BR,80.65,light rain,-7.2586,-64.7981,Hotel Novo Horizonte
536,Puerto Madryn,AR,63.57,clear sky,-42.7692,-65.0385,Hotel Tolosa
537,Kroya,ID,77.05,broken clouds,-7.6331,109.2461,RUSTANTO Fam
540,Dabhol,IN,69.39,clear sky,17.6,73.1667,Ashwamedh Resort
543,Isla Vista,US,62.67,broken clouds,34.4133,-119.861,Best Western Plus South Coast Inn
544,Dubbo,AU,68.13,scattered clouds,-32.25,148.6167,Quality Inn Dubbo International
545,Jaciara,BR,81.77,few clouds,-15.9653,-54.9683,Taba Hotel
548,Daru,PG,76.15,moderate rain,-9.0763,143.2092,Daru Lodge
549,La Cruz,MX,79.66,clear sky,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
551,Jimeta,NG,81.64,overcast clouds,9.2833,12.4667,Yola International Hotel
